"행정구역별(시군구)","주택의 종류별","항목","단위","2022 년","2023 년",
"서울특별시","다세대주택","(건축연도) 2011년","","999","1043",
"서울특별시","다세대주택","(건축연도) 2010년","","496","601",
"서울특별시","다세대주택","(건축연도) 2005~2009년","","1418","1666",
"서울특별시","다세대주택","(건축연도) 2000~2004년","","7526","7820",
"서울특별시","다세대주택","(건축연도) 1990~1999년","","9178","9874",
"서울특별시","다세대주택","(건축연도) 1980~1989년","","4953","5248",
"서울특별시","다세대주택","(건축연도) 1979년 이전","","692","675",
"서울특별시","비주거용 건물 내 주택","주택_계","","1514","1604",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2023년","","","X",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2022년","","X","X",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2021년","","X","X",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2020년","","X","X",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2019년","","X","X",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2018년","","6","8",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2017년","","6","6",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2016년","","12","12",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2015년","","9","7",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2014년","","X","X",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2013년","","8","10",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2012년","","X","X",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2011년","","7","7",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2010년","","6","7",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2005~2009년","","36","39",
"서울특별시","비주거용 건물 내 주택","(건축연도) 2000~2004년","","102","117",
"서울특별시","비주거용 건물 내 주택","(건축연도) 1990~1999년","","376","389",
"서울특별시","비주거용 건물 내 주택","(건축연도) 1980~1989년","","453","461",
"서울특별시","비주거용 건물 내 주택","(건축연도) 1979년 이전","","485","526",
"종로구","계","주택_계","","2021","2144",
"종로구","계","(건축연도) 2023년","","","74",
"종로구","계","(건축연도) 2022년","","44","X",
"종로구","계","(건축연도) 2021년","","75","40",
"종로구","계","(건축연도) 2020년","","X","X",
"종로구","계","(건축연도) 2019년","","12","16",
