행정구역,소멸위험지수_역수처리,다세대주택,단독주택,폐가계산값,폐가지수,방문자,방문자지수,가중치점수,최종점수
전라남도 고흥군,0.8229045949371969,274.0,5110.0,3659.2,0.5442403510076598,16960002.5,0.0317414959034771,5.68376103590201,100.0
경상남도 합천군,0.8570770552090359,76.0,4036.0,2848.0,0.423588904588384,15409614.5,0.0278864118285935,5.500379166153144,97.31940147821896
경상북도 의성군,0.87512283189355,133.0,2993.0,2135.0,0.3175429463820927,17579415.0,0.0332816827886528,5.261679633036723,93.83019277673735
경상남도 남해군,0.753431178299349,173.0,4619.0,3285.2,0.4886145608685953,17572135.0,0.0332635808605773,5.166472412381377,92.4384939392181
경상북도 청도군,0.768226018986754,103.0,3740.0,2648.9,0.393976351602588,18344427.5,0.035183908235339,4.952691333270856,89.31353264706198
경상북도 봉화군,0.8585391599473432,141.0,1314.0,962.1,0.1430951141518554,9086294.0,0.0121632946734458,4.697654552845391,85.5855129821707
경상남도 산청군,0.7565271483210152,58.0,2563.0,1811.5,0.2694281252323939,13204845.5,0.0224041906938214,4.546111735914614,83.37032425273149
전라남도 보성군,0.7245853743580444,30.0,2344.0,1649.8,0.2453781512605042,14669116.0,0.0260451411435616,4.306971043284611,79.87466686828249
경상북도 영덕군,0.7163326381880073,146.0,2500.0,1793.8,0.266795567784636,19867820.0,0.0389718672278925,4.304106159838159,79.8327892151527
경상북도 청송군,0.7960693477860558,145.0,1060.0,785.5,0.1168290324979549,10991162.0,0.0168998034000068,4.2970342296241295,79.72941473378316
경상남도 하동군,0.7121710906597194,70.0,2234.0,1584.8,0.2357105674128058,14749392.0,0.0262447497119944,4.215497656113025,78.53754762759499
충청남도 서천군,0.6580964771103197,250.0,2851.0,2070.7,0.307979474975831,23926602.0,0.049064144678198,4.116292521122696,77.08740897118174
경상남도 의령군,0.7091434081011301,87.0,1708.0,1221.6999999999998,0.1817059567189707,9964346.0,0.0143465960677547,4.0621417185270525,76.29585546815592
경상북도 영양군,0.7455030289348226,88.0,911.0,664.0999999999999,0.0987729605116382,4797310.0,0.0014986133705522,4.020836799467923,75.69207765127676
전라남도 신안군,0.7221233514867089,35.0,1149.0,814.8,0.1211868818323789,13578208.0,0.0233325672214446,3.927512268487792,74.32789917423406
충청북도 괴산군,0.7220122874923952,96.0,1157.0,838.6999999999999,0.124741578047148,17408601.0,0.0328569488954808,3.918572273812458,74.19721811757209
충청북도 보은군,0.6495304943371553,60.0,1749.0,1242.3,0.1847698371383952,13541993.5,0.0232425188321189,3.7554769454367243,71.81315966756225
경상남도 고성군,0.5638573779369787,228.0,3044.0,2199.2,0.3270915445824348,19861604.0,0.038956410966228,3.722648701499742,71.33329029830206
전라남도 함평군,0.6304447135911043,31.0,1875.0,1321.8,0.1965940358444262,11028104.5,0.01699166198214,3.70802235152452,71.11948850766525
경상남도 함양군,0.5849122045097387,66.0,2591.0,1833.5,0.2727002305346917,14819861.0,0.0264199728946254,3.6898217683635175,70.8534400897723
경상남도 창녕군,0.5731322794160352,226.0,2759.0,1999.1,0.2973302595374433,21356545.0,0.0426736244908365,3.672304926710833,70.5973863157282
충청남도 부여군,0.5908820983482361,166.0,2364.0,1704.6,0.2535286681044099,28995764.0,0.0616687608769851,3.59165897430044,69.41853793167054
인천광역시 강화군,0.5083200677467747,786.0,3385.0,2605.3,0.3874916338216703,36263027.5,0.0797390192812251,3.544597201636434,68.73060886644564
경상북도 상주시,0.4625121280325713,163.0,4029.0,2869.2,0.4267420242433257,34918457.0,0.0763957063027267,3.43999530028738,67.20158256457755
전라남도 해남군,0.5057838220442321,67.0,3122.0,2205.4999999999995,0.3280285565553655,21325234.0,0.0425957687944116,3.4278132422984333,67.0235103991986
전라남도 구례군,0.5833523792407225,33.0,1584.0,1118.7,0.1663865546218487,11571017.5,0.0183416306740722,3.379238298721014,66.31346244229019
전라남도 강진군,0.5159255177340797,84.0,2505.0,1778.7,0.264549713690786,13947094.0,0.0242498128038714,3.3247771041350136,65.51737176057999
전라남도 완도군,0.5255514248073645,99.0,2331.0,1661.4,0.2471034431471704,17983189.0,0.0342856783802415,3.300496096717851,65.16244227557182
전라남도 곡성군,0.5593740262217005,78.0,1611.0,1151.1,0.1712054733397784,10877800.5,0.0166179267901808,3.277250697547476,64.82265087340295
충청북도 단양군,0.568155429292833,70.0,1263.0,905.1,0.1346173867777199,15690867.5,0.0285857554518112,3.1874577958937027,63.5100962584393
경상북도 성주군,0.5788248947815474,51.0,1088.0,776.8999999999999,0.1155499367888748,16686614.0,0.031061707584291,3.1786508691057795,63.38136033180996
경상남도 밀양시,0.4046449515515628,275.0,4029.0,2902.8,0.4317394214322897,38191128.5,0.0845332975263271,3.149376427002029,62.953438932945694
전라남도 장흥군,0.5232681045836696,43.0,1801.0,1273.6,0.1894251505912099,14768873.0,0.0262931897752965,3.132029595141385,62.69987029005364
충청남도 금산군,0.5094247084701218,211.0,2036.0,1488.4999999999998,0.2213876701122926,23859853.5,0.0488981726251556,3.1134902074371755,62.428869370809615
충청남도 청양군,0.5496751476389053,113.0,1221.0,888.5999999999999,0.1321633078009965,10750845.0,0.0163022483108137,3.1122611649758887,62.41090374852949
충청북도 영동군,0.5213490336615602,145.0,1689.0,1225.8,0.1823157581616717,18113354.0,0.0346093373730918,3.084473768046632,62.00471934635977
경상북도 고령군,0.5459233811560027,73.0,1027.0,740.8,0.1101807094519223,11655903.0,0.0185527008960027,3.023053632343775,61.10690581005903
충청남도 태안군,0.5278324435795285,773.0,1314.0,1151.6999999999998,0.1712947125752956,37494982.0,0.0828023093569553,2.987441736909619,60.58634620190719
전라남도 진도군,0.5002936750312156,43.0,1389.0,985.2,0.1465308247192682,11098615.5,0.0171669895989715,2.9067268701159397,59.40649045657537
