,region,region_code,visitors,시도 이름,결합행정구역,visitors_scaled
232,평택시,41220,166957539.0,경기도,경기도 평택시,0.4047146576106898
233,포천시,41650,60999767.5,경기도,경기도 포천시,0.14124763031184218
234,포항시 남구,47111,77847287.0,,,0.18313946908106704
235,포항시 북구,47113,94227185.5,,,0.22386855486834084
236,하남시,41450,124415672.5,경기도,경기도 하남시,0.29893309063521384
237,하동군,48850,14749392.0,경상남도,경상남도 하동군,0.026244749711994406
238,함안군,48730,24263085.0,경상남도,경상남도 함안군,0.04990081927498871
239,함양군,48870,14819861.0,경상남도,경상남도 함양군,0.02641997289462545
240,함평군,46860,11028104.5,전라남도,전라남도 함평군,0.016991661982140062
241,합천군,48890,15409614.5,경상남도,경상남도 합천군,0.027886411828593506
242,해남군,46820,21325234.0,전라남도,전라남도 해남군,0.04259576879441168
243,해운대구,26350,153969277.0,부산광역시,부산광역시 해운대구,0.3724189729197506
244,홍성군,44800,32829846.0,충청남도,충청남도 홍성군,0.07120231535495962
245,홍천군,51720,31499576.5,,,0.06789456222170952
246,화성시,41590,276594038.0,경기도,경기도 화성시,0.6773289459829502
247,화순군,46790,27613414.5,전라남도,전라남도 화순군,0.058231509335194775
248,화천군,51790,10884594.0,,,0.016634819022101295
249,횡성군,51730,20462967.0,,,0.04045171725376659
