,결합행정구역,다세대주택,단독주택,폐가지수_2023_raw,폐가지수_2023,폐가지수_2023_순위
69,강원특별자치도 홍천군,158.0,2631.0,1641.8,0.2528958718422674,70.0
70,경상남도 거창군,148.0,2573.0,1603.0,0.2469192852741836,71.0
71,강원특별자치도 원주시,345.0,2419.0,1589.3999999999999,0.24482439926062846,72.0
72,전라남도 화순군,28.0,2625.0,1586.2,0.24433148490449785,73.0
73,경상남도 함양군,66.0,2591.0,1581.0,0.24353049907578558,74.0
74,충청남도 천안시,2717.0,810.0,1572.8,0.24226740603820088,75.0
75,경상남도 산청군,58.0,2563.0,1561.0,0.2404497843499692,76.0
76,경상북도 영덕군,146.0,2500.0,1558.4,0.2400492914356131,77.0
77,경상북도 문경시,214.0,2451.0,1556.1999999999998,0.23971041281577324,78.0
78,충청북도 제천시,120.0,2503.0,1549.8,0.23872458410351202,79.0
79,울산광역시 울주군,815.0,2038.0,1548.8,0.2385705483672212,80.0
80,전라남도 강진군,84.0,2505.0,1536.6,0.2366913123844732,81.0
81,경기도 성남시,1065.0,1842.0,1531.2,0.23585951940850278,82.0
82,경기도 용인시 처인구,3244.0,363.0,1515.4,0.23342575477510785,83.0
83,경기도 남양주시,2703.0,707.0,1505.4,0.23188539741219966,84.0
84,충청남도 예산군,794.0,1979.0,1505.0,0.2318237831176833,85.0
85,충청남도 부여군,166.0,2364.0,1484.8,0.22871226124460875,86.0
86,경상북도 울진군,290.0,2271.0,1478.6,0.22775723967960568,87.0
87,경상북도 예천군,140.0,2353.0,1467.8,0.22609365372766482,88.0
88,전라북도 남원시,92.0,2377.0,1463.0,0.2253542821934689,89.0
89,인천광역시 동구,519.0,2065.0,1446.6,0.22282809611829943,90.0
90,전라남도 완도군,99.0,2331.0,1438.1999999999998,0.22153419593345655,91.0
91,부산광역시 동구,605.0,1969.0,1423.3999999999999,0.21925446703635243,92.0
92,충청남도 공주시,334.0,2144.0,1419.9999999999998,0.21873074553296362,93.0
93,전라남도 보성군,30.0,2344.0,1418.3999999999999,0.21848428835489833,94.0
94,부산광역시 수영구,2765.0,480.0,1394.0,0.21472581638940236,95.0
95,경기도 시흥시,3418.0,22.0,1380.4,0.2126309303758472,96.0
96,경기도 성남시 중원구,759.0,1782.0,1372.8000000000002,0.21146025878003702,97.0
97,경상남도 하동군,70.0,2234.0,1368.3999999999999,0.21078250154035735,98.0
98,충청남도 보령시,290.0,2001.0,1316.6,0.2028034504004929,99.0
99,전라남도 담양군,112.0,2105.0,1307.8,0.2014479359211337,100.0
100,충청남도 금산군,211.0,2036.0,1306.0,0.20117067159581023,101.0
101,강원특별자치도 횡성군,90.0,2107.0,1300.2,0.2002772643253235,102.0
102,경기도 고양시,2978.0,149.0,1280.6000000000001,0.19725816389402345,103.0
103,충청남도 아산시,1505.0,1130.0,1280.0,0.19716574245224894,104.0
104,경상남도 김해시,1075.0,1416.0,1279.6,0.1971041281577326,105.0
105,부산광역시 동래구,2240.0,625.0,1271.0,0.19577942082563154,106.0
106,부산광역시 서구,1362.0,1196.0,1262.4,0.19445471349353052,107.0
107,서울특별시 서초구,2759.0,252.0,1254.8000000000002,0.1932840418977203,108.0
108,울산광역시 남구,1715.0,915.0,1235.0,0.19023413431916206,109.0
109,강원특별자치도 춘천시,121.0,1970.0,1230.4,0.1895255699322243,110.0
110,충청남도 서산시,1061.0,1319.0,1215.8,0.18727664818237832,111.0
111,경상북도 경산시,621.0,1583.0,1198.2,0.1845656192236599,112.0
112,부산광역시 연제구,1972.0,676.0,1194.4,0.1839802834257548,113.0
113,경상남도 함안군,150.0,1853.0,1171.8,0.18049907578558225,114.0
114,경기도 안산시 단원구,2689.0,142.0,1160.8000000000002,0.17880468268638328,115.0
115,경상북도 칠곡군,521.0,1583.0,1158.2,0.17840418977202713,116.0
116,경기도 여주시,941.0,1295.0,1153.4,0.1776648182378312,117.0
117,인천광역시 계양구,2827.0,20.0,1142.8,0.1760320394331485,118.0
118,전라남도 광양시,243.0,1742.0,1142.4,0.17597042513863217,119.0
119,전라남도 영암군,110.0,1824.0,1138.3999999999999,0.17535428219346888,120.0
120,전라남도 함평군,31.0,1875.0,1137.4,0.17520024645717808,121.0
121,전라북도 전주시 완산구,759.0,1387.0,1135.8,0.17495378927911276,122.0
122,경상북도 영주시,188.0,1767.0,1135.4,0.17489217498459644,123.0
123,광주광역시 북구,658.0,1444.0,1129.6,0.17399876771410966,124.0
124,전라북도 전주시 덕진구,806.0,1320.0,1114.4,0.17165742452248925,125.0
125,전라남도 장성군,28.0,1833.0,1111.0,0.17113370301910044,126.0
126,경상북도 영천시,168.0,1727.0,1103.4,0.16996303142329022,127.0
127,대구광역시 동구,842.0,1277.0,1103.0,0.16990141712877388,128.0
128,전라남도 장흥군,43.0,1801.0,1097.8,0.1691004313000616,129.0
129,충청남도 태안군,773.0,1314.0,1097.6,0.16906962415280344,130.0
130,충청북도 청주시 서원구,287.0,1618.0,1085.6,0.1672211953173136,131.0
131,전라북도 임실군,103.0,1740.0,1085.2,0.1671595810227973,132.0
132,전라북도 순창군,43.0,1761.0,1073.8,0.16540357362908195,133.0
133,충청북도 보은군,60.0,1749.0,1073.3999999999999,0.1653419593345656,134.0
134,충청북도 영동군,145.0,1689.0,1071.4,0.165033887861984,135.0
135,경상남도 의령군,87.0,1708.0,1059.6,0.16321626617375232,136.0
136,전라북도 완주군,147.0,1666.0,1058.3999999999999,0.16303142329020331,137.0
137,인천광역시 중구,1499.0,734.0,1040.0,0.16019716574245227,138.0
138,강원특별자치도 삼척시,306.0,1473.0,1006.1999999999999,0.15499075785582256,139.0
139,충청북도 옥천군,165.0,1554.0,998.4,0.15378927911275417,140.0
140,전라남도 곡성군,78.0,1611.0,997.8,0.15369685767097968,141.0
141,경기도 포천시,1639.0,550.0,985.6,0.15181762168823168,142.0
142,충청북도 청주시 상당구,221.0,1494.0,984.8,0.15169439309919902,143.0
143,경기도 이천시,2063.0,262.0,982.4000000000001,0.15132470733210107,144.0
144,서울특별시 송파구,2342.0,73.0,980.6,0.15104744300677758,145.0
145,강원특별자치도 평창군,429.0,1342.0,976.8,0.15046210720887246,146.0
146,광주광역시 광산구,270.0,1432.0,967.1999999999999,0.14898336414048058,147.0
147,전라남도 구례군,33.0,1584.0,963.6,0.14842883548983365,148.0
148,전라남도 영광군,76.0,1543.0,956.1999999999999,0.14728897104128158,149.0
149,서울특별시 양천구,2306.0,22.0,935.6000000000001,0.14411583487369073,150.0
150,서울특별시 마포구,2219.0,38.0,910.4,0.14023413431916204,151.0
151,충청남도 천안시 동남구,1364.0,597.0,903.8,0.13921749845964262,152.0
152,경기도 고양시 덕양구,2074.0,110.0,895.6,0.13795440542205792,153.0
153,서울특별시 구로구,2153.0,49.0,890.6,0.13718422674060382,154.0
154,광주광역시 남구,239.0,1312.0,882.8,0.13598274799753543,155.0
155,대구광역시 서구,659.0,1030.0,881.6,0.13579790511398646,156.0
156,충청북도 음성군,592.0,1068.0,877.5999999999999,0.13518176216882316,157.0
157,강원특별자치도 동해시,322.0,1237.0,871.0,0.13416512630930377,158.0
158,충청북도 진천군,1266.0,603.0,868.2,0.13373382624768948,159.0
159,경기도 의정부시,1732.0,276.0,858.4000000000001,0.13222427603203946,160.0
160,경상남도 창원시 진해구,330.0,1210.0,858.0,0.1321626617375231,161.0
161,전라남도 진도군,43.0,1389.0,850.6,0.13102279728897104,162.0
162,경상북도 봉화군,141.0,1314.0,844.8,0.13012939001848428,163.0
163,경기도 동두천시,1500.0,399.0,839.4,0.12929759704251387,164.0
164,대구광역시 달성군,244.0,1226.0,833.2,0.1283425754775108,165.0
165,광주광역시 동구,624.0,944.0,816.0,0.1256931608133087,166.0
166,대전광역시 동구,241.0,1194.0,812.8,0.12520024645717806,167.0
167,경상남도 양산시,524.0,988.0,802.4,0.12359827479975355,168.0
168,울산광역시 중구,753.0,822.0,794.4,0.12236598890942699,169.0
169,서울특별시 용산구,1495.0,324.0,792.4,0.12205791743684535,170.0
170,대전광역시 중구,615.0,910.0,792.0,0.12199630314232902,171.0
171,충청북도 단양군,70.0,1263.0,785.8,0.12104128157732594,172.0
172,충청남도 청양군,113.0,1221.0,777.8000000000001,0.1198089956869994,173.0
173,서울특별시 성북구,1133.0,539.0,776.6,0.11962415280345041,174.0
174,세종특별자치시 세종시,484.0,961.0,770.2,0.11863832409118917,175.0
175,서울특별시 도봉구,1889.0,19.0,767.0,0.11814540973505853,176.0
