,도시레벨,연도,20~39세_여성,65세_이상_전체,지역소멸지수,소멸위험도
85,경상북도 영덕군,2023,1733,28386,0.061051222433594024,0.7163326381880073
86,경상북도 영양군,2023,763,12958,0.05888254360240778,0.7455030289348226
87,경상북도 영주시,2023,7216,60848,0.11859058637917434,0.33205208336254205
88,경상북도 영천시,2023,7205,63488,0.1134860131048387,0.3503918928480375
89,경상북도 예천군,2023,4092,35756,0.11444233135697505,0.34683147194316033
90,경상북도 울릉군,2023,601,5192,0.11575500770416025,0.34204010857446676
91,경상북도 울진군,2023,3197,29130,0.10974939924476484,0.36489836012739935
92,경상북도 의성군,2023,2307,45364,0.05085530376510008,0.87512283189355
93,경상북도 청도군,2023,1985,34644,0.05729707885925413,0.768226018986754
94,경상북도 청송군,2023,1114,20084,0.055467038438558054,0.7960693477860558
95,경상북도 칠곡군,2023,9485,41604,0.22798288626093643,0.1364100255678577
96,경상북도 포항시,6069,90376,415368,0.21758055507405483,0.14654998650116047
97,광주광역시 광산구,2023,49674,88556,0.5609331948145806,0.010519233550304097
98,광주광역시 남구,2023,23614,84840,0.2783356907119283,0.09804102821517911
99,광주광역시 동구,2023,14218,48150,0.29528556593977157,0.08806900407555394
100,광주광역시 북구,2023,51480,148626,0.3463727746154778,0.06391694622678494
101,광주광역시 서구,2023,36068,96620,0.37329745394328295,0.053848100279899294
102,대구광역시 군위군,2023,926,20600,0.044951456310679615,1.0
103,대구광역시 남구,2023,16801,72930,0.2303715891951186,0.13421085502179514
104,대구광역시 달서구,2023,59523,187176,0.3180055135273753,0.07636974414786103
105,대구광역시 달성군,2023,28669,80348,0.3568103748693185,0.059833306964534386
106,대구광역시 동구,2023,38072,153174,0.24855393212947366,0.11885661867589446
107,대구광역시 북구,2023,48239,147104,0.32792446160539485,0.0717705145979713
108,대구광역시 서구,2023,15854,85682,0.18503302910763053,0.18564096812648384
109,대구광역시 수성구,2023,41999,149626,0.2806931950329488,0.09658194639118374
110,대구광역시 중구,2023,13743,34072,0.40335172575722,0.044196591820943945
111,대전광역시 대덕구,2023,18189,65960,0.27575803517283204,0.09966491496669412
112,대전광역시 동구,2023,24401,95084,0.2566257204156325,0.1127376690805885
