,date,region,region_code,touDivNm,visitors
116,20230101,강화군,28710,현지인(a),45762.5
117,20230101,강화군,28710,외지인(b),86282.0
118,20230101,옹진군,28720,현지인(a),8470.0
119,20230101,옹진군,28720,외지인(b),20534.5
120,20230101,동구,29110,현지인(a),59328.5
121,20230101,동구,29110,외지인(b),91238.0
122,20230101,서구,29140,현지인(a),154598.5
123,20230101,서구,29140,외지인(b),118797.0
124,20230101,남구,29155,현지인(a),91462.0
125,20230101,남구,29155,외지인(b),53256.0
126,20230101,북구,29170,현지인(a),225106.0
127,20230101,북구,29170,외지인(b),109466.0
128,20230101,광산구,29200,현지인(a),217378.0
129,20230101,광산구,29200,외지인(b),114478.0
130,20230101,동구,30110,현지인(a),99911.0
131,20230101,동구,30110,외지인(b),100054.5
132,20230101,중구,30140,현지인(a),114688.0
133,20230101,중구,30140,외지인(b),110050.5
134,20230101,서구,30170,현지인(a),244713.0
135,20230101,서구,30170,외지인(b),146958.0
136,20230101,유성구,30200,현지인(a),198051.0
137,20230101,유성구,30200,외지인(b),142467.5
138,20230101,대덕구,30230,현지인(a),74564.0
139,20230101,대덕구,30230,외지인(b),57778.0
140,20230101,중구,31110,현지인(a),101986.5
141,20230101,중구,31110,외지인(b),64382.5
142,20230101,남구,31140,현지인(a),179224.5
143,20230101,남구,31140,외지인(b),113071.0
144,20230101,동구,31170,현지인(a),76758.5
145,20230101,동구,31170,외지인(b),50925.0
146,20230101,북구,31200,현지인(a),101871.0
147,20230101,북구,31200,외지인(b),78333.5
148,20230101,울주군,31710,현지인(a),112885.5
149,20230101,울주군,31710,외지인(b),134095.5
150,20230101,세종특별자치시,36110,현지인(a),176543.5
151,20230101,세종특별자치시,36110,외지인(b),77927.5
152,20230101,수원시 장안구,41111,현지인(a),128478.0
153,20230101,수원시 장안구,41111,외지인(b),97478.5
154,20230101,수원시 권선구,41113,현지인(a),147693.0
155,20230101,수원시 권선구,41113,외지인(b),113788.5
156,20230101,수원시 팔달구,41115,현지인(a),104832.0
157,20230101,수원시 팔달구,41115,외지인(b),181398.0
158,20230101,수원시 영통구,41117,현지인(a),167989.5
159,20230101,수원시 영통구,41117,외지인(b),130791.5
160,20230101,성남시 수정구,41131,현지인(a),107768.5
161,20230101,성남시 수정구,41131,외지인(b),103460.0
162,20230101,성남시 중원구,41133,현지인(a),85956.5
163,20230101,성남시 중원구,41133,외지인(b),68792.5
164,20230101,성남시 분당구,41135,현지인(a),322175.0
165,20230101,성남시 분당구,41135,외지인(b),195713.0
166,20230101,의정부시,41150,현지인(a),246039.5
167,20230101,의정부시,41150,외지인(b),118387.5
