,행정구역,연도,20~39세_여성,65세_이상_전체,지방소멸지수
671,전라남도 목포시,2024,20422,88804,0.22996711859826133
672,전라남도 무안군,2022,9472,36816,0.2572794437201217
673,전라남도 무안군,2023,9248,37962,0.2436120330857173
674,전라남도 무안군,2024,9600,39140,0.2452733776188043
675,전라남도 보성군,2022,2022,31632,0.0639226100151745
676,전라남도 보성군,2023,1926,31876,0.06042163383109549
677,전라남도 보성군,2024,1828,32462,0.056311995564044114
678,전라남도 순천시,2022,31240,95966,0.3255319592355626
679,전라남도 순천시,2023,30583,100870,0.30319222761970854
680,전라남도 순천시,2024,29802,106664,0.2794007350183755
681,전라남도 신안군,2022,1820,29270,0.062179706183805944
682,전라남도 신안군,2023,1806,29798,0.06060809450298678
683,전라남도 신안군,2024,1782,30552,0.05832678711704635
684,전라남도 여수시,2022,26963,117442,0.22958566781900852
685,전라남도 여수시,2023,25762,122114,0.21096680151334
686,전라남도 여수시,2024,24708,127540,0.19372745805237573
687,전라남도 영광군,2022,4232,31942,0.13249013837580614
688,전라남도 영광군,2023,4149,32528,0.12755164781111658
689,전라남도 영광군,2024,4240,33328,0.12722035525684108
690,전라남도 영암군,2022,3780,29824,0.12674356223175964
691,전라남도 영암군,2023,3743,30562,0.12247235128591061
692,전라남도 영암군,2024,3554,31246,0.11374255904755809
693,전라남도 완도군,2022,2869,33054,0.08679736189266049
694,전라남도 완도군,2023,2695,33510,0.08042375410325275
695,전라남도 완도군,2024,2553,34136,0.07478907897820483
696,전라남도 장성군,2022,2998,27738,0.10808277453313145
697,전라남도 장성군,2023,2861,28268,0.10120984859204754
698,전라남도 장성군,2024,2845,28886,0.09849061829259849
699,전라남도 장흥군,2022,2237,26094,0.08572851996627577
700,전라남도 장흥군,2023,2140,26508,0.08073034555605854
701,전라남도 장흥군,2024,2062,26938,0.07654614299502562
702,전라남도 진도군,2022,1848,21052,0.08778263347900438
703,전라남도 진도군,2023,1791,21334,0.08395050154682666
704,전라남도 진도군,2024,1774,21458,0.08267312890297325
705,전라남도 함평군,2022,1697,24084,0.07046171732270387
706,전라남도 함평군,2023,1687,24636,0.06847702549115116
707,전라남도 함평군,2024,1630,24808,0.06570461141567237
708,전라남도 해남군,2022,4095,45760,0.08948863636363637
709,전라남도 해남군,2023,3870,46538,0.08315784949933387
710,전라남도 해남군,2024,3619,47494,0.07619909883353687
711,전라남도 화순군,2022,5186,35300,0.14691218130311615
712,전라남도 화순군,2023,5080,36310,0.13990636188377858
713,전라남도 화순군,2024,5019,37498,0.13384713851405408
714,전라북도,2022,175179,819608,0.21373510263443013
715,전라북도,2023,169879,844700,0.201111637267669
716,전라북도 고창군,2022,3160,38690,0.08167485138278625
717,전라북도 고창군,2023,3001,39638,0.07571017710278016
718,전라북도 군산시,2022,25215,109670,0.22991702379866874
719,전라북도 군산시,2023,24107,113776,0.2118812403318802
720,전라북도 김제시,2022,6016,54918,0.10954514002694928
721,전라북도 김제시,2023,5983,55836,0.10715309119564438
722,전라북도 남원시,2022,5808,47332,0.12270768190653258
723,전라북도 남원시,2023,5496,48212,0.11399651539035925
724,전라북도 무주군,2022,1373,16772,0.0818626281898402
725,전라북도 무주군,2023,1342,17090,0.07852545348156817
726,전라북도 부안군,2022,3173,35812,0.08860158606053836
727,전라북도 부안군,2023,2979,36448,0.0817328797190518
728,전라북도 순창군,2022,1616,19266,0.08387833489048065
729,전라북도 순창군,2023,1679,19534,0.08595269786014129
730,전라북도 완주군,2022,8213,45846,0.1791432186014047
731,전라북도 완주군,2023,9035,48326,0.1869594007366635
732,전라북도 익산시,2022,27691,119720,0.231298028733712
733,전라북도 익산시,2023,26740,123698,0.21617164384226098
734,전라북도 임실군,2022,1555,20518,0.07578711375377717
735,전라북도 임실군,2023,1471,20700,0.07106280193236715
736,전라북도 장수군,2022,1219,15694,0.07767299604944565
737,전라북도 장수군,2023,1150,16050,0.07165109034267912
738,전라북도 전주시,2022,80671,214304,0.37643254442287594
739,전라북도 전주시,2023,77771,222878,0.3489397787130179
740,전라북도 전주시 덕진구,2022,39583,97416,0.4063295557197996
741,전라북도 전주시 덕진구,2023,38302,101034,0.3791001049151771
742,전라북도 전주시 완산구,2022,41088,116888,0.3515159811101225
743,전라북도 전주시 완산구,2023,39469,121844,0.3239305997833295
744,전라북도 정읍시,2022,8052,62562,0.12870432530929318
745,전라북도 정읍시,2023,7728,63668,0.12137965697053466
746,전라북도 진안군,2022,1417,18504,0.07657803718115003
747,전라북도 진안군,2023,1397,18846,0.07412713573172026
748,전북특별자치도,2024,164667,876840,0.1877959490899138
749,전북특별자치도 고창군,2024,2858,40388,0.07076359314647915
750,전북특별자치도 군산시,2024,23298,118618,0.19641201166770642
751,전북특별자치도 김제시,2024,5811,57014,0.10192233486512085
752,전북특별자치도 남원시,2024,5301,49614,0.10684484218164228
753,전북특별자치도 무주군,2024,1296,17482,0.07413339434847271
754,전북특별자치도 부안군,2024,2743,37070,0.07399514432155382
755,전북특별자치도 순창군,2024,1685,20222,0.0833250914845218
756,전북특별자치도 완주군,2024,9265,50410,0.18379289823447728
757,전북특별자치도 익산시,2024,26008,129174,0.2013408271014291
758,전북특별자치도 임실군,2024,1404,21216,0.0661764705882353
759,전북특별자치도 장수군,2024,1094,16474,0.06640767269637003
760,전북특별자치도 전주시,2024,75214,234578,0.32063535369898283
761,전북특별자치도 전주시 덕진구,2024,37355,106338,0.351285523519344
762,전북특별자치도 전주시 완산구,2024,37859,128240,0.2952199001871491
763,전북특별자치도 정읍시,2024,7349,65150,0.11280122793553339
764,전북특별자치도 진안군,2024,1341,19430,0.06901698404529079
765,제주특별자치도,2022,75661,230074,0.3288550640228796
766,제주특별자치도,2023,72962,240730,0.3030864453952561
767,제주특별자치도,2024,70551,252204,0.27973783127944046
768,제주특별자치도 서귀포시,2022,17703,76462,0.23152677146818026
769,제주특별자치도 서귀포시,2023,16755,79682,0.21027333651263774
770,제주특별자치도 서귀포시,2024,15942,83020,0.19202601782702963
771,제주특별자치도 제주시,2022,57958,153612,0.37730125250631463
772,제주특별자치도 제주시,2023,56207,161048,0.34900774924246186
773,제주특별자치도 제주시,2024,54609,169184,0.322778749763571
774,충청남도,2022,218528,872206,0.25054631589326376
775,충청남도,2023,214357,907362,0.23624198500708649
776,충청남도,2024,211999,949436,0.22328940549968612
777,충청남도 계룡시,2022,4431,11904,0.3722278225806452
778,충청남도 계룡시,2023,4763,13054,0.3648690056687605
779,충청남도 계룡시,2024,4657,13966,0.33345267077187457
780,충청남도 공주시,2022,8910,58812,0.15149969394001225
781,충청남도 공주시,2023,8920,60912,0.1464407670081429
782,충청남도 공주시,2024,8883,63346,0.1402298487670887
783,충청남도 금산군,2022,2959,34106,0.08675892804785082
784,충청남도 금산군,2023,2902,35116,0.0826403918441736
785,충청남도 금산군,2024,2824,35970,0.07850986933555741
786,충청남도 논산시,2022,9040,65164,0.13872690442575655
787,충청남도 논산시,2023,8530,66840,0.12761819269898264
788,충청남도 논산시,2024,8147,69108,0.117887943508711
789,충청남도 당진시,2022,15180,67716,0.22417153996101363
790,충청남도 당진시,2023,14761,70418,0.20961969950864837
791,충청남도 당진시,2024,14574,73630,0.19793562406627732
792,충청남도 보령시,2022,7415,55428,0.13377715234177673
793,충청남도 보령시,2023,6988,56978,0.12264382744217066
794,충청남도 보령시,2024,6564,58832,0.11157193364155561
795,충청남도 부여군,2022,3740,47266,0.07912664494562688
796,충청남도 부여군,2023,3483,48014,0.07254134210855168
797,충청남도 부여군,2024,3256,48960,0.06650326797385621
798,충청남도 서산시,2022,16376,70506,0.2322639208010666
799,충청남도 서산시,2023,15609,73518,0.21231535134252835
800,충청남도 서산시,2024,14938,77090,0.1937735114800882
801,충청남도 서천군,2022,2758,39126,0.070490211112815
802,충청남도 서천군,2023,2624,39820,0.0658965344048217
803,충청남도 서천군,2024,2506,40510,0.06186126882251296
804,충청남도 아산시,2022,39126,93778,0.41721939047537804
805,충청남도 아산시,2023,40351,99096,0.4071910067005732
806,충청남도 아산시,2024,41256,105564,0.39081505058542687
807,충청남도 예산군,2022,5271,52042,0.10128357864801507
808,충청남도 예산군,2023,5419,53470,0.10134654946699084
809,충청남도 예산군,2024,5455,55042,0.09910613713164493
810,충청남도 천안시,2022,89209,161062,0.5538798723472949
811,충청남도 천안시,2023,86487,171222,0.5051161649787994
812,충청남도 천안시,2024,85343,184372,0.4628848198207971
813,충청남도 천안시 동남구,2022,30227,82148,0.367957832205288
814,충청남도 천안시 동남구,2023,29961,86930,0.3446566202691821
815,충청남도 천안시 동남구,2024,30308,93306,0.32482369836880803
816,충청남도 천안시 서북구,2022,58982,78914,0.7474212433788682
817,충청남도 천안시 서북구,2023,56526,84292,0.6705974469700565
818,충청남도 천안시 서북구,2024,55035,91066,0.6043419058704675
819,충청남도 청양군,2022,1838,22990,0.07994780339277947
820,충청남도 청양군,2023,1822,23564,0.07732133763367849
821,충청남도 청양군,2024,1746,24142,0.0723220942755364
822,충청남도 태안군,2022,3726,41888,0.0889514896867838
823,충청남도 태안군,2023,3478,43410,0.08011978806726561
824,충청남도 태안군,2024,3386,44814,0.07555674565983844
825,충청남도 홍성군,2022,8549,50418,0.16956245785235433
826,충청남도 홍성군,2023,8220,51930,0.1582900057770075
827,충청남도 홍성군,2024,8464,54090,0.15647994083934183
828,충청북도,2022,168954,632950,0.2669310372067304
829,충청북도,2023,165666,663490,0.24968876697463413
830,충청북도,2024,162608,697272,0.23320597987585906
831,충청북도 괴산군,2022,1900,27872,0.06816877152698048
832,충청북도 괴산군,2023,1754,28936,0.060616533038429635
833,충청북도 괴산군,2024,1679,30030,0.05591075591075591
834,충청북도 단양군,2022,1566,19292,0.08117354343769438
835,충청북도 단양군,2023,1510,20106,0.07510195961404556
836,충청북도 단양군,2024,1404,20964,0.06697195191757298
837,충청북도 보은군,2022,1696,23568,0.07196198234894773
838,충청북도 보은군,2023,1623,24342,0.06667488291841261
839,충청북도 보은군,2024,1534,25056,0.06122286079182631
840,충청북도 영동군,2022,2785,31506,0.08839586110582111
841,충청북도 영동군,2023,2615,32288,0.0809898414271556
842,충청북도 영동군,2024,2476,33214,0.07454687782260493
843,충청북도 옥천군,2022,3289,32500,0.1012
844,충청북도 옥천군,2023,3107,33290,0.09333133072994894
845,충청북도 옥천군,2024,2979,34380,0.08664921465968586
846,충청북도 음성군,2022,7522,43496,0.17293544233952549
847,충청북도 음성군,2023,7216,45530,0.15848890841203603
848,충청북도 음성군,2024,7103,47812,0.14856103070358906
849,충청북도 제천시,2022,11752,64196,0.1830643653810206
850,충청북도 제천시,2023,11512,67342,0.1709482937839684
851,충청북도 제천시,2024,11005,70580,0.15592235760838766
852,충청북도 증평군,2022,3801,14502,0.2621017790649566
853,충청북도 증평군,2023,3771,15352,0.24563574778530484
854,충청북도 증평군,2024,3608,16044,0.224881575666916
855,충청북도 진천군,2022,8686,30530,0.28450704225352114
856,충청북도 진천군,2023,8342,31816,0.2621951219512195
857,충청북도 진천군,2024,8140,33478,0.2431447517772866
858,충청북도 청주시,2022,106377,253676,0.41934199530109273
859,충청북도 청주시,2023,105060,268554,0.39120623785160524
860,충청북도 청주시,2024,103942,284884,0.36485727524185285
861,충청북도 청주시 상당구,2022,22584,66260,0.340839118623604
862,충청북도 청주시 상당구,2023,22731,70702,0.32150434216853835
863,충청북도 청주시 상당구,2024,21735,74266,0.2926642070395605
864,충청북도 청주시 서원구,2022,22790,65186,0.34961494799496823
865,충청북도 청주시 서원구,2023,21802,68252,0.3194338627439489
866,충청북도 청주시 서원구,2024,20753,71748,0.2892484807938897
867,충청북도 청주시 청원구,2022,24228,55302,0.4381035043940545
868,충청북도 청주시 청원구,2023,23051,57974,0.3976092731224342
869,충청북도 청주시 청원구,2024,22372,61322,0.3648282834871661
870,충청북도 청주시 흥덕구,2022,36775,66928,0.5494710733923022
871,충청북도 청주시 흥덕구,2023,37476,71626,0.5232178259291319
872,충청북도 청주시 흥덕구,2024,39082,77548,0.5039717336359416
873,충청북도 충주시,2022,19580,91812,0.21326188297825993
874,충청북도 충주시,2023,19156,95934,0.1996789459420018
875,충청북도 충주시,2024,18738,100830,0.18583754834870575
