,행정구역,연도,20~39세_여성,65세_이상_전체,지방소멸지수
382,광주광역시 광산구,2022,51331,83774,0.6127318738510755
383,광주광역시 광산구,2023,49674,88556,0.5609331948145806
384,광주광역시 광산구,2024,47991,94620,0.5071972098922004
385,광주광역시 남구,2022,24866,81368,0.30559925277750466
386,광주광역시 남구,2023,23614,84840,0.2783356907119283
387,광주광역시 남구,2024,22620,88970,0.2542430032595257
388,광주광역시 동구,2022,14047,46484,0.3021900008605111
389,광주광역시 동구,2023,14218,48150,0.29528556593977157
390,광주광역시 동구,2024,13940,49830,0.2797511539233394
391,광주광역시 북구,2022,53297,141450,0.3767903852951573
392,광주광역시 북구,2023,51480,148626,0.3463727746154778
393,광주광역시 북구,2024,51003,158556,0.32167183834102775
394,광주광역시 서구,2022,37363,91780,0.40709304859446505
395,광주광역시 서구,2023,36068,96620,0.37329745394328295
396,광주광역시 서구,2024,34705,100976,0.34369553161147204
397,대구광역시,2022,269199,869446,0.3096212990801039
398,대구광역시,2023,263826,930712,0.2834668511848993
399,대구광역시,2024,258390,984454,0.2624703642831458
400,대구광역시 군위군,2023,926,20600,0.044951456310679615
401,대구광역시 군위군,2024,851,21240,0.040065913370998116
402,대구광역시 남구,2022,17304,70966,0.24383507595186427
403,대구광역시 남구,2023,16801,72930,0.2303715891951186
404,대구광역시 남구,2024,16108,75268,0.21400860923632886
405,대구광역시 달서구,2022,62229,178064,0.34947546949411445
406,대구광역시 달서구,2023,59523,187176,0.3180055135273753
407,대구광역시 달서구,2024,57569,200528,0.287087090082183
408,대구광역시 달성군,2022,30404,75926,0.40044253615362324
409,대구광역시 달성군,2023,28669,80348,0.3568103748693185
410,대구광역시 달성군,2024,26741,85872,0.3114053474939445
411,대구광역시 동구,2022,37899,146362,0.2589401620639237
412,대구광역시 동구,2023,38072,153174,0.24855393212947366
413,대구광역시 동구,2024,37745,161462,0.23377017502570263
414,대구광역시 북구,2022,50796,140720,0.36097214326321775
415,대구광역시 북구,2023,48239,147104,0.32792446160539485
416,대구광역시 북구,2024,46634,156064,0.29881330736108264
417,대구광역시 서구,2022,15228,81576,0.18667255075022066
418,대구광역시 서구,2023,15854,85682,0.18503302910763053
419,대구광역시 서구,2024,15631,90242,0.1732120298752244
420,대구광역시 수성구,2022,43322,143800,0.30126564673157163
421,대구광역시 수성구,2023,41999,149626,0.2806931950329488
422,대구광역시 수성구,2024,41553,157948,0.263080254260896
423,대구광역시 중구,2022,12017,32032,0.3751560939060939
424,대구광역시 중구,2023,13743,34072,0.40335172575722
425,대구광역시 중구,2024,15558,35830,0.4342171364778119
426,대전광역시,2022,185703,464192,0.40005644216186403
427,대전광역시,2023,183206,488422,0.37509776381899257
428,대전광역시,2024,181653,517312,0.3511478566126438
429,대전광역시 대덕구,2022,18978,62418,0.3040469095453235
430,대전광역시 대덕구,2023,18189,65960,0.27575803517283204
431,대전광역시 대덕구,2024,17754,70140,0.2531223267750214
432,대전광역시 동구,2022,24951,91592,0.27241462136431127
433,대전광역시 동구,2023,24401,95084,0.2566257204156325
434,대전광역시 동구,2024,24623,99908,0.2464567402009849
435,대전광역시 서구,2022,65728,135542,0.48492718124271444
436,대전광역시 서구,2023,64155,142740,0.4494535519125683
437,대전광역시 서구,2024,62494,150902,0.41413632688764895
438,대전광역시 유성구,2022,50071,77476,0.6462775569208529
439,대전광역시 유성구,2023,51442,83586,0.615437992008231
440,대전광역시 유성구,2024,51802,90902,0.5698664495830674
441,대전광역시 중구,2022,25975,97164,0.2673315219628669
442,대전광역시 중구,2023,25019,101052,0.24758540157542652
443,대전광역시 중구,2024,24980,105460,0.2368670586004172
444,동해출장소,2022,0,0,
445,동해출장소,2023,0,0,
446,동해출장소,2024,0,0,
447,부산광역시,2022,383221,1420592,0.26976147972113035
448,부산광역시,2023,371975,1486174,0.2502903428535286
449,부산광역시,2024,362357,1556628,0.2327832982575156
450,부산광역시 강서구,2022,17665,37914,0.4659228780925252
451,부산광역시 강서구,2023,16433,40280,0.40796921549155907
452,부산광역시 강서구,2024,15682,42644,0.3677422380639715
453,부산광역시 금정구,2022,24567,103984,0.2362575011540237
454,부산광역시 금정구,2023,23155,107872,0.21465255117175913
455,부산광역시 금정구,2024,22070,112230,0.1966497371469304
456,부산광역시 기장군,2022,19356,62258,0.31089980404124773
457,부산광역시 기장군,2023,18528,65748,0.2818032487680234
458,부산광역시 기장군,2024,17424,68490,0.25440210249671485
459,부산광역시 남구,2022,28387,113616,0.24985037318687509
460,부산광역시 남구,2023,28045,117590,0.23849817161323242
461,부산광역시 남구,2024,28186,122740,0.2296398891966759
462,부산광역시 동구,2022,9807,48546,0.20201458410579656
463,부산광역시 동구,2023,10011,50026,0.2001159397113501
464,부산광역시 동구,2024,9719,51144,0.19003206632254027
465,부산광역시 동래구,2022,30773,109514,0.28099603703636067
466,부산광역시 동래구,2023,29459,114768,0.2566830475393838
467,부산광역시 동래구,2024,29577,121592,0.2432479110467794
468,부산광역시 부산진구,2022,49915,150902,0.3307775907542644
469,부산광역시 부산진구,2023,50453,158188,0.3189432826763092
470,부산광역시 부산진구,2024,50457,165170,0.30548525761336803
471,부산광역시 북구,2022,31168,111342,0.2799303048265704
472,부산광역시 북구,2023,29365,118106,0.2486325842886898
473,부산광역시 북구,2024,27937,125196,0.22314610690437395
474,부산광역시 사상구,2022,22918,85748,0.267271539860988
475,부산광역시 사상구,2023,22691,91252,0.24866304300179723
476,부산광역시 사상구,2024,21734,96800,0.22452479338842976
477,부산광역시 사하구,2022,32453,131230,0.24729863598262591
478,부산광역시 사하구,2023,30803,137816,0.2235081558019388
479,부산광역시 사하구,2024,29156,144878,0.2012451856044396
480,부산광역시 서구,2022,11505,56702,0.20290289584141652
481,부산광역시 서구,2023,11399,58374,0.1952752937951828
482,부산광역시 서구,2024,10934,60658,0.180256520162221
483,부산광역시 수영구,2022,23897,80948,0.29521421159262734
484,부산광역시 수영구,2023,23315,84604,0.2755779868564134
485,부산광역시 수영구,2024,22647,87718,0.25817962105839165
486,부산광역시 연제구,2022,24094,87924,0.2740321186479232
487,부산광역시 연제구,2023,24516,92232,0.265807962529274
488,부산광역시 연제구,2024,25250,97726,0.25837545791294025
489,부산광역시 영도구,2022,9265,65348,0.14177939646201873
490,부산광역시 영도구,2023,8817,67160,0.13128350208457415
491,부산광역시 영도구,2024,8299,69146,0.12002140398576924
492,부산광역시 중구,2022,5074,22812,0.22242679291600911
493,부산광역시 중구,2023,4792,23590,0.20313692242475626
494,부산광역시 중구,2024,4565,24194,0.18868314458130114
495,부산광역시 해운대구,2022,42377,151804,0.2791560169692498
496,부산광역시 해운대구,2023,40193,158568,0.25347484990666463
497,부산광역시 해운대구,2024,38720,166302,0.23282943079457855
498,북부출장소,2022,0,0,
499,북부출장소,2023,0,0,
500,북부출장소,2024,0,0,
501,서울특별시,2022,1431359,3289896,0.43507727903860793
502,서울특별시,2023,1419399,3440388,0.41256945437549486
503,서울특별시,2024,1406509,3599464,0.39075512354061603
504,서울특별시 강남구,2022,75393,160272,0.4704065588499551
505,서울특별시 강남구,2023,76905,170018,0.4523344587043725
506,서울특별시 강남구,2024,77468,179588,0.4313651246185714
507,서울특별시 강동구,2022,64642,155362,0.4160734285089018
508,서울특별시 강동구,2023,63731,164566,0.3872671147138534
509,서울특별시 강동구,2024,65902,178308,0.36959642865154674
510,서울특별시 강북구,2022,37425,131738,0.284086596122607
511,서울특별시 강북구,2023,36352,136332,0.26664319455447
512,서울특별시 강북구,2024,35503,141802,0.25037023455240404
513,서울특별시 강서구,2022,93366,192714,0.4844795915190386
514,서울특별시 강서구,2023,91530,202528,0.4519375098751778
515,서울특별시 강서구,2024,89544,213288,0.41982671317655
516,서울특별시 관악구,2022,95172,162828,0.5844940673594222
517,서울특별시 관악구,2023,93888,168638,0.5567428456219832
518,서울특별시 관악구,2024,93296,175312,0.5321712147485625
519,서울특별시 광진구,2022,59373,106694,0.5564792771852213
520,서울특별시 광진구,2023,58848,112068,0.5251097547917336
521,서울특별시 광진구,2024,58172,117800,0.4938200339558574
522,서울특별시 구로구,2022,57177,148246,0.3856900017538416
523,서울특별시 구로구,2023,56144,155984,0.35993435224125553
524,서울특별시 구로구,2024,54808,163218,0.3357962969770491
525,서울특별시 금천구,2022,35317,83952,0.42068086525633697
526,서울특별시 금천구,2023,35093,88584,0.3961550618621873
527,서울특별시 금천구,2024,34641,93592,0.3701277886998889
528,서울특별시 노원구,2022,64075,183186,0.3497810968087081
529,서울특별시 노원구,2023,62929,191878,0.32796360187202284
530,서울특별시 노원구,2024,61701,200134,0.30829844004516976
531,서울특별시 도봉구,2022,38146,133200,0.28638138138138136
532,서울특별시 도봉구,2023,36913,139998,0.2636680524007486
533,서울특별시 도봉구,2024,36102,147476,0.2447991537606119
534,서울특별시 동대문구,2022,52448,127716,0.4106611544364058
535,서울특별시 동대문구,2023,53646,132784,0.40400951921918304
536,서울특별시 동대문구,2024,53711,137792,0.38979766604737576
537,서울특별시 동작구,2022,62626,134698,0.46493637618969846
538,서울특별시 동작구,2023,62170,139156,0.44676478197131275
539,서울특별시 동작구,2024,61827,144466,0.4279692107485498
540,서울특별시 마포구,2022,66361,109962,0.603490296647933
541,서울특별시 마포구,2023,66321,113842,0.5825705802779291
542,서울특별시 마포구,2024,66014,118010,0.5593932717566308
543,서울특별시 서대문구,2022,48109,110122,0.436870016890358
544,서울특별시 서대문구,2023,48464,114284,0.42406636099541495
545,서울특별시 서대문구,2024,47814,118420,0.40376625570005065
546,서울특별시 서초구,2022,56170,122712,0.4577384444879066
547,서울특별시 서초구,2023,56259,129318,0.43504384540435204
548,서울특별시 서초구,2024,56099,135370,0.41441235133338256
549,서울특별시 성동구,2022,44616,94210,0.4735802993312812
550,서울특별시 성동구,2023,44263,97646,0.4533006984413084
551,서울특별시 성동구,2024,43705,101190,0.431910267813025
552,서울특별시 성북구,2022,62852,153526,0.40938994046611
553,서울특별시 성북구,2023,62051,159378,0.3893322792355281
554,서울특별시 성북구,2024,61460,165648,0.37102772143340096
555,서울특별시 송파구,2022,100692,204944,0.4913147006011398
556,서울특별시 송파구,2023,99122,215360,0.4602618870728083
557,서울특별시 송파구,2024,97763,225916,0.4327404876148657
558,서울특별시 양천구,2022,54156,143664,0.3769629134647511
559,서울특별시 양천구,2023,52597,151364,0.34748685288443754
560,서울특별시 양천구,2024,50972,159398,0.31977816534711856
561,서울특별시 영등포구,2022,65373,125470,0.5210249462022795
562,서울특별시 영등포구,2023,65856,130494,0.5046668812359189
563,서울특별시 영등포구,2024,66401,135896,0.4886162948136811
564,서울특별시 용산구,2022,35914,75284,0.4770469156792944
565,서울특별시 용산구,2023,34755,76848,0.45225640224859465
566,서울특별시 용산구,2024,33619,76272,0.4407777428151877
567,서울특별시 은평구,2022,66650,177510,0.37547180440538563
568,서울특별시 은평구,2023,66632,185876,0.35847554283500827
569,서울특별시 은평구,2024,65582,194296,0.3375365421830609
570,서울특별시 종로구,2022,21209,54496,0.38918452730475633
571,서울특별시 종로구,2023,20830,56150,0.3709706144256456
572,서울특별시 종로구,2024,20916,58258,0.35902365340382436
573,서울특별시 중구,2022,19216,48538,0.3958959990110841
574,서울특별시 중구,2023,19860,50316,0.3947054614834248
575,서울특별시 중구,2024,20025,52046,0.38475579295238826
576,서울특별시 중랑구,2022,54881,148852,0.36869507967645715
577,서울특별시 중랑구,2023,54240,156978,0.34552612467989147
578,서울특별시 중랑구,2024,53464,165968,0.3221343873517787
579,세종특별자치시,2022,49752,80202,0.6203336575147752
580,세종특별자치시,2023,48624,84858,0.5730043130877466
581,세종특별자치시,2024,47943,90342,0.5306834030683403
582,세종특별자치시,2022,49752,80202,0.6203336575147752
583,세종특별자치시,2023,48624,84858,0.5730043130877466
584,세종특별자치시,2024,47943,90342,0.5306834030683403
585,울산광역시,2022,120652,327046,0.36891446463188665
586,울산광역시,2023,115226,350790,0.32847572621796517
587,울산광역시,2024,111373,376732,0.2956292536869711
588,울산광역시 남구,2022,36555,88474,0.4131722313900129
589,울산광역시 남구,2023,35125,94498,0.3717009883807065
590,울산광역시 남구,2024,34074,101454,0.33585664439056123
591,울산광역시 동구,2022,15749,46210,0.34081367669335644
592,울산광역시 동구,2023,15117,50534,0.2991451300114774
593,울산광역시 동구,2024,14302,54774,0.26110928542739253
594,울산광역시 북구,2022,25498,42940,0.5938053097345133
595,울산광역시 북구,2023,23699,46646,0.5080607126012948
596,울산광역시 북구,2024,22769,50862,0.4476623019149856
597,울산광역시 울주군,2022,21658,75310,0.2875846501128668
598,울산광역시 울주군,2023,20475,80308,0.2549559197091199
599,울산광역시 울주군,2024,20063,85794,0.23385085204093525
600,울산광역시 중구,2022,21192,74112,0.2859455958549223
601,울산광역시 중구,2023,20810,78804,0.2640728897010304
602,울산광역시 중구,2024,20165,83848,0.24049470470374965
603,인천광역시,2022,373830,923534,0.4047820654139425
604,인천광역시,2023,371693,989734,0.3755483796656475
605,인천광역시,2024,370232,1062024,0.34860982426009207
606,인천광역시 강화군,2022,4528,49408,0.09164507772020726
607,인천광역시 강화군,2023,4243,51246,0.08279670608437732
608,인천광역시 강화군,2024,4142,53888,0.07686312351543943
609,인천광역시 계양구,2022,36079,87102,0.414215517439324
610,인천광역시 계양구,2023,33816,93722,0.36081176244638397
611,인천광역시 계양구,2024,33517,101900,0.3289205103042198
612,인천광역시 남동구,2022,62332,159370,0.39111501537303134
613,인천광역시 남동구,2023,57989,170280,0.3405508574113225
614,인천광역시 남동구,2024,55985,182212,0.30725199218492744
615,인천광역시 동구,2022,5687,29302,0.19408231520032762
616,인천광역시 동구,2023,5848,30388,0.19244438594181915
617,인천광역시 동구,2024,5619,31516,0.17829039218174894
618,인천광역시 미추홀구,2022,51111,150938,0.33862248075368695
619,인천광역시 미추홀구,2023,49892,159118,0.31355346346736385
620,인천광역시 미추홀구,2024,50162,168260,0.2981219541186259
621,인천광역시 부평구,2022,64319,162368,0.3961310110366575
622,인천광역시 부평구,2023,64754,173710,0.3727707098036958
623,인천광역시 부평구,2024,63642,185460,0.34315755418958266
624,인천광역시 서구,2022,78080,139046,0.5615407850639357
625,인천광역시 서구,2023,82806,154108,0.5373244737456848
626,인천광역시 서구,2024,82798,168866,0.4903177667499674
627,인천광역시 서구검단출장소,2022,0,0,
628,인천광역시 서구검단출장소,2023,0,0,
629,인천광역시 서구검단출장소,2024,0,0,
630,인천광역시 연수구,2022,50030,87500,0.5717714285714286
631,인천광역시 연수구,2023,49727,94888,0.5240599443554507
632,인천광역시 연수구,2024,50268,103640,0.48502508683905826
633,인천광역시 옹진군,2022,1364,12168,0.11209730440499671
634,인천광역시 옹진군,2023,1267,12842,0.09866064475938327
635,인천광역시 옹진군,2024,1258,13460,0.09346210995542348
636,인천광역시 중구,2022,20300,46332,0.43814210480877147
637,인천광역시 중구,2023,21351,49432,0.43192668716620813
638,인천광역시 중구,2024,22841,52822,0.4324145242512589
639,인천광역시 중구영종출장소,2022,0,0,
640,인천광역시 중구영종출장소,2023,0,0,
641,인천광역시 중구영종출장소,2024,0,0,
642,인천광역시 중구용유출장소,2022,0,0,
643,인천광역시 중구용유출장소,2023,0,0,
644,인천광역시 중구용유출장소,2024,0,0,
645,전라남도,2022,163277,913840,0.17867132101899677
646,전라남도,2023,158161,940662,0.16813797091835325
647,전라남도,2024,153888,971864,0.15834314266193625
648,전라남도 강진군,2022,2136,24532,0.08706994945377466
649,전라남도 강진군,2023,2042,24984,0.08173230867755363
650,전라남도 강진군,2024,1965,25358,0.07749033835475984
651,전라남도 고흥군,2022,2994,53378,0.05609052418599423
652,전라남도 고흥군,2023,2909,54060,0.05381058083610803
653,전라남도 고흥군,2024,2755,54934,0.05015109039938836
654,전라남도 곡성군,2022,1665,20718,0.08036490008688098
655,전라남도 곡성군,2023,1609,21132,0.07614045050160893
656,전라남도 곡성군,2024,1567,21512,0.07284306433618445
657,전라남도 광양시,2022,16358,44618,0.36662333587341434
658,전라남도 광양시,2023,15850,47254,0.3354213399923816
659,전라남도 광양시,2024,15880,50212,0.31625906157890543
660,전라남도 구례군,2022,1388,18116,0.07661735482446456
661,전라남도 구례군,2023,1355,18468,0.0733701537795105
662,전라남도 구례군,2024,1297,18930,0.06851558372952984
663,전라남도 나주시,2022,12250,54896,0.22314922763042844
664,전라남도 나주시,2023,12234,56416,0.21685337492909812
665,전라남도 나주시,2024,11943,58214,0.20515683512557117
666,전라남도 담양군,2022,3378,30092,0.11225574903628871
667,전라남도 담양군,2023,3230,30726,0.10512269738983271
668,전라남도 담양군,2024,3043,31750,0.09584251968503937
669,전라남도 목포시,2022,22649,81516,0.27784729378281564
670,전라남도 목포시,2023,21591,84808,0.2545868314309971
